                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95508,                 1.2643,                 1.2531,                 0.6574,                0.86294,                0.70994,                0.52616,                0.93133,                 1.1959,                 1.3005,             0.00055247,             0.00055247,             0.00055247
                      2,                0.85454,                0.76945,                 1.1538,                0.93827,                0.90302,                0.95731,                0.75899,                0.88217,                0.75835,                 1.2606,              0.0010533,              0.0010533,              0.0010533
                      3,                 0.8262,                0.69482,                 1.1286,                0.91766,                0.89299,                0.95875,                0.80362,                0.67224,                0.61412,                 1.0668,              0.0014991,              0.0014991,              0.0014991
                      4,                 0.8092,                0.64766,                 1.1101,                0.95998,                0.92311,                0.98288,                0.87237,                0.57115,                0.44702,                0.99153,              0.0014195,              0.0014195,              0.0014195
                      5,                0.74623,                0.58812,                 1.0821,                0.96084,                0.95896,                 0.9899,                0.91343,                0.51754,                 0.3932,                0.96629,              0.0013369,              0.0013369,              0.0013369
                      6,                0.69577,                0.53517,                 1.0543,                0.97721,                0.96786,                0.99172,                0.92166,                0.46192,                0.33972,                0.92471,              0.0012544,              0.0012544,              0.0012544
                      7,                0.66825,                0.47991,                 1.0354,                0.97606,                 0.9728,                 0.9935,                0.92288,                0.47373,                0.31516,                0.93354,              0.0011719,              0.0011719,              0.0011719
                      8,                 0.6183,                0.46897,                 1.0196,                0.99422,                0.97265,                0.99451,                0.92437,                0.46416,                0.29519,                0.93097,              0.0010894,              0.0010894,              0.0010894
                      9,                 0.5924,                 0.4511,                 1.0044,                0.97074,                 0.9622,                0.99109,                0.93709,                0.41254,                0.31547,                0.91707,              0.0010069,              0.0010069,              0.0010069
                     10,                0.58431,                0.43478,                 1.0039,                0.97016,                0.97235,                0.98922,                0.93642,                0.40773,                0.31819,                 0.8956,             0.00092435,             0.00092435,             0.00092435
                     11,                0.49983,                0.34657,                0.97534,                0.96866,                0.99245,                0.99395,                0.93674,                0.40036,                0.29295,                0.89776,             0.00084184,             0.00084184,             0.00084184
                     12,                  0.486,                0.31619,                0.96967,                0.97489,                0.98879,                0.99456,                0.93634,                0.37924,                0.29651,                0.89433,             0.00075932,             0.00075932,             0.00075932
                     13,                0.46553,                0.31129,                0.94547,                0.94685,                0.95736,                0.99424,                0.94058,                0.37922,                0.32765,                0.88644,              0.0006768,              0.0006768,              0.0006768
                     14,                0.44973,                0.29566,                 0.9361,                0.97759,                0.97123,                 0.9929,                0.95049,                 0.3575,                0.25465,                0.86851,             0.00059429,             0.00059429,             0.00059429
                     15,                0.41607,                0.26515,                0.91338,                0.98895,                0.96496,                0.99442,                0.96058,                0.33306,                0.23524,                 0.8613,             0.00051177,             0.00051177,             0.00051177
                     16,                0.40515,                0.24407,                0.90959,                0.98763,                0.98461,                0.99436,                0.95826,                0.33671,                0.24757,                0.85704,             0.00042925,             0.00042925,             0.00042925
                     17,                0.38596,                0.23674,                0.89888,                0.99097,                0.99102,                0.99461,                0.95823,                0.34785,                0.24175,                0.87029,             0.00034674,             0.00034674,             0.00034674
                     18,                 0.3644,                0.22334,                0.88831,                0.97117,                0.98962,                0.99438,                0.96918,                0.32646,                0.22674,                0.85488,             0.00026422,             0.00026422,             0.00026422
                     19,                0.35178,                0.21383,                0.87799,                0.98526,                0.98553,                0.99391,                0.97166,                0.29527,                0.20872,                0.84313,              0.0001817,              0.0001817,              0.0001817
                     20,                0.33703,                 0.1949,                0.87335,                0.98984,                0.98921,                0.99484,                0.96566,                0.31674,                0.19507,                0.84748,             9.9187e-05,             9.9187e-05,             9.9187e-05
